config_id,outer_target_gene,model_name,C,gamma,n_estimators,max_depth,min_samples_leaf,n_inner_validation_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_default_accuracy_mean,inner_default_balanced_accuracy_mean,inner_default_roc_auc_mean,inner_default_gof_f1_mean
10,SCN2A,rbf_svm,0.1,0.01,0,none,0,6,0.39185355365804175,0.7558528428093646,0.6686645531999208,0.7002179512581731,0.5228758169934641,0.6280896167412333,0.6443103523460667,0.737746017210303,0.5565670712729536
31,SCN2A,random_forest,0.0,none,300,,3,6,0.6067692370079752,0.725752508361204,0.6641321577174559,0.6714880126808005,0.5393258426966292,0.6759777384692125,0.7126878742950172,0.7263329263329265,0.6218364215370017
1,SCN2A,logistic_regression,0.1,none,0,none,0,6,0.6344787961669435,0.7190635451505016,0.6636368139488805,0.673370319001387,0.5434782608695652,0.6125098541471395,0.6263667219024361,0.6820792633292633,0.568956533662416
5,SCN2A,linear_svm,0.01,none,0,none,0,6,0.5117803176550366,0.7357859531772575,0.6625718248464434,0.6949177729344165,0.5269461077844312,0.6838886403928196,0.7049472353043781,0.7218639165067735,0.6211071608130432
32,SCN2A,random_forest,0.0,none,300,,5,6,0.6476899350351151,0.7357859531772575,0.6533584307509411,0.675302159698831,0.5031446540880503,0.671574828720161,0.709589220303506,0.7175736961451248,0.6230867935218255
28,SCN2A,random_forest,0.0,none,300,5,5,6,0.6134056626141067,0.7190635451505016,0.6521200713295027,0.6781256191797107,0.5172413793103449,0.6638219140309581,0.7071675678818536,0.7248252078609222,0.6124602963072179
23,SCN2A,random_forest,0.0,none,300,3,3,6,0.5235274860750885,0.6488294314381271,0.6515256588072122,0.676689122250842,0.5643153526970954,0.6227219325922494,0.65987666434095,0.7027414384557242,0.5795188521657442
25,SCN2A,random_forest,0.0,none,300,3,10,6,0.6035417970981647,0.7157190635451505,0.6495690509213394,0.678323756687141,0.5142857142857142,0.6358786224755852,0.6698812430955288,0.7056809262166407,0.5941471306174214
27,SCN2A,random_forest,0.0,none,300,5,3,6,0.647073989892909,0.7290969899665551,0.6482563899346147,0.6769367941351296,0.4968944099378882,0.6421804379250099,0.681249273213559,0.7140375167160881,0.5930399045101954
6,SCN2A,linear_svm,0.1,none,0,none,0,6,0.6979722430530335,0.7157190635451505,0.6472657023974638,0.6561323558549632,0.5086705202312138,0.6326295034096739,0.6514815541601255,0.6863738444095587,0.5784003804477371
33,SCN2A,random_forest,0.0,none,300,,10,6,0.6495269312808846,0.7290969899665551,0.6459530414107391,0.6675747969090549,0.49056603773584906,0.6341238991449762,0.665019041804756,0.7052917320774464,0.5703656259251667
29,SCN2A,random_forest,0.0,none,300,5,10,6,0.6215745536786101,0.7190635451505016,0.645210025757876,0.6678720031702,0.5,0.6091607327438425,0.6378808360951219,0.7009640822140821,0.5559725479511576
24,SCN2A,random_forest,0.0,none,300,3,5,6,0.6152038332206071,0.7190635451505016,0.6429066772340004,0.6744105409153952,0.4939759036144578,0.6234474822121384,0.6583020815163673,0.6996456916099772,0.5792020590242204
2,SCN2A,logistic_regression,1.0,none,0,none,0,6,0.6545015118625461,0.68561872909699,0.642733306914999,0.6391915989696849,0.5252525252525253,0.5820744240921784,0.5991874527588813,0.6696228705157278,0.5472945845004669
21,SCN2A,random_forest,0.0,none,300,2,10,6,0.629042948036366,0.7391304347826086,0.642089360015851,0.675302159698831,0.4657534246575342,0.628387802455398,0.6744029449386592,0.6980093319379034,0.6114447023267578
30,SCN2A,random_forest,0.0,none,300,,1,6,0.5349999999999999,0.6622073578595318,0.6409996037249851,0.6475876758470378,0.5388127853881278,0.6505739646785313,0.6901938339438338,0.7160441740798884,0.5816298173679577
20,SCN2A,random_forest,0.0,none,300,2,5,6,0.646500868531058,0.7424749163879598,0.6400336833762631,0.6724787002179512,0.45390070921985815,0.628387802455398,0.6757740275597418,0.7011221582650154,0.6128087896283452
12,SCN2A,rbf_svm,1.0,scale,0,none,0,6,0.5132423843288355,0.6989966555183946,0.6391172974043986,0.6569744402615416,0.5054945054945055,0.6242195275602768,0.6606899383685099,0.6781582504796791,0.5695578125605117
19,SCN2A,random_forest,0.0,none,300,2,3,6,0.644484188734028,0.7391304347826086,0.6374826629680999,0.6694571032296414,0.4507042253521127,0.6252030890796018,0.6736372754229897,0.7008401651258794,0.6109600300863605
18,SCN2A,random_forest,0.0,none,300,2,1,6,0.6441620105188597,0.7391304347826086,0.6374826629680999,0.6681692094313453,0.4507042253521127,0.6252030890796018,0.6736372754229897,0.7005628960986104,0.6109600300863605
26,SCN2A,random_forest,0.0,none,300,5,1,6,0.621979487339015,0.7157190635451505,0.635748959778086,0.6676243312859125,0.4785276073619632,0.672519948412165,0.7130171085528229,0.7208089859875574,0.6146552642796249
22,SCN2A,random_forest,0.0,none,300,3,1,6,0.6760003979971339,0.7391304347826086,0.6351793144442243,0.6687140875767783,0.44285714285714284,0.6292283362632308,0.66984817431246,0.7027974010116868,0.5837028508567136
11,SCN2A,rbf_svm,0.1,0.1,0,none,0,6,-0.8087363487156793,0.568561872909699,0.6294580939171786,0.6130869823657618,0.568561872909699,0.5201281295151817,0.5,0.6400095935810222,0.3263096720630967
3,SCN2A,logistic_regression,10.0,none,0,none,0,6,0.7050598610459243,0.6789297658862876,0.623811174955419,0.6237864077669902,0.48936170212765956,0.5769459647232377,0.5980729257514971,0.6597847258561544,0.5483168653799706
7,SCN2A,linear_svm,1.0,none,0,none,0,6,0.8416291488125087,0.6889632107023411,0.6222508420844066,0.6281454329304537,0.4745762711864407,0.6231635000705809,0.6430239403453689,0.658863160648875,0.5779695154652064
8,SCN2A,linear_svm,10.0,none,0,none,0,6,0.11466196218396729,0.6020066889632107,0.6112046760451754,0.6118981573211809,0.5258964143426295,0.6207955957837646,0.6506621024478166,0.6602168003953718,0.5802490965316937
4,SCN2A,logistic_regression,100.0,none,0,none,0,6,0.7103586062944822,0.6521739130434783,0.603403011690113,0.6096195759857341,0.46938775510204084,0.5635858200121918,0.5959092825164253,0.6554250973893831,0.5365663322185061
14,SCN2A,rbf_svm,1.0,0.1,0,none,0,6,-0.01889486014057748,0.6254180602006689,0.5899048939964335,0.5362096294828611,0.4666666666666667,0.5729508471032393,0.5986568986568986,0.631477120762835,0.4300781718808284
16,SCN2A,rbf_svm,10.0,0.01,0,none,0,6,0.24978457312739008,0.5953177257525084,0.5830691499900931,0.5982266693085,0.48068669527896996,0.552816126679562,0.5971833391476249,0.6320189400546543,0.5485424254033757
15,SCN2A,rbf_svm,10.0,scale,0,none,0,6,0.5487459193810316,0.6488294314381271,0.5732118089954429,0.565781652466812,0.3930635838150289,0.5176882674777497,0.5544464794464794,0.601117797546369,0.4982915151876353
17,SCN2A,rbf_svm,10.0,0.1,0,none,0,6,-0.03136061257010513,0.5852842809364549,0.5569893005745987,0.5100059441252229,0.43636363636363634,0.5276814084673852,0.5546750537821966,0.6171954038025467,0.3700910772498369
5,SCN3A,linear_svm,0.01,none,0,none,0,6,0.016858979205666095,0.6959247648902821,0.6975051975051976,0.7349705474705475,0.616600790513834,0.7367600582983771,0.7352291557648701,0.7729849845921275,0.6731296580758946
0,SCN3A,logistic_regression,0.01,none,0,none,0,6,0.5253520501049188,0.6959247648902821,0.6912032224532225,0.7359234234234233,0.6072874493927125,0.6934674860606592,0.7073961422175707,0.7512170038955753,0.6381116362967544
6,SCN3A,linear_svm,0.1,none,0,none,0,6,0.1178712235657384,0.6927899686520376,0.686698717948718,0.7116250866250867,0.6016260162601627,0.6938751952584551,0.6944408105122392,0.7433524478167334,0.6344592831820733
18,SCN3A,random_forest,0.0,none,300,2,1,6,0.5648754306438474,0.7241379310344828,0.6834286209286209,0.7212404712404713,0.580952380952381,0.6789707099941401,0.7214205767777196,0.784039406360835,0.6499169130681953
13,SCN3A,rbf_svm,1.0,0.01,0,none,0,6,-0.01835506761099026,0.6739811912225705,0.6827789327789328,0.7099358974358975,0.6030534351145038,0.7376819269365927,0.7557060003488575,0.7755454532240247,0.6856492969396194
19,SCN3A,random_forest,0.0,none,300,2,3,6,0.561699495805596,0.7178683385579937,0.680721586971587,0.7218035343035344,0.5794392523364486,0.6789707099941401,0.7214205767777196,0.7844049799406942,0.6499169130681953
1,SCN3A,logistic_regression,0.1,none,0,none,0,6,0.5782681967350956,0.7021943573667712,0.679205647955648,0.7172557172557172,0.5851528384279476,0.6840128682262643,0.6953947177161464,0.7497147363218793,0.6257368110816387
