feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
wt_mut_site,16,linear_svm,0.1,none,6,0.6863084006377899,0.7051263881621024,0.7610137217280074,0.6954079535601275,0.8123177327292809,SCN5A
mutant_site,16,logistic_regression,0.1,none,6,0.6946446718640664,0.7050417175417175,0.742235013663585,0.7119441410516462,0.8150446014226039,SCN5A
mutant_site,16,linear_svm,0.01,none,6,0.678615711584379,0.7008892232106518,0.7049021745450318,0.6760175392694189,0.779181024211935,SCN5A
mutant_site,128,rbf_svm,1.0,0.01,6,0.6244015712385623,0.699969474969475,0.7631319408105123,0.6347018994077818,0.7779321135496663,SCN5A
delta_site,32,logistic_regression,0.1,none,6,0.6399767439065429,0.6991224053724053,0.704850209314495,0.6412268947983234,0.7881895866002039,SCN5A
wt_mut_site,16,logistic_regression,0.1,none,6,0.6869416334150601,0.6985362521076807,0.7616136839351125,0.7056222889556224,0.824359992687762,SCN5A
mutant_site,8,rbf_svm,1.0,scale,6,0.6786341568781414,0.6978563433920577,0.7428571428571429,0.6722653036482824,0.7684572759780308,SCN5A
mutant_site,64,linear_svm,1.0,none,6,0.6735263963003916,0.6975394645037502,0.7158076050933193,0.6924005460770166,0.7676897007196996,SCN5A
delta_site,64,logistic_regression,0.1,none,6,0.691645934490329,0.6970521541950113,0.7604206639920926,0.6908481775624056,0.8215739173579287,SCN5A
wt_mut_site,16,logistic_regression,0.01,none,6,0.6869416334150601,0.6967556253270538,0.7479421041921043,0.706315289648623,0.8157445244295275,SCN5A
wt_mut_site,16,logistic_regression,1.0,none,6,0.671148622662372,0.6951821326821327,0.7580233589162161,0.6696962313190383,0.8200465018062887,SCN5A
wt_mut_site,128,linear_svm,0.1,none,6,0.6892295175445625,0.6949561020989593,0.7069971364614221,0.71326564659898,0.77695031590918,SCN5A
wt_mut_site,16,logistic_regression,10.0,none,6,0.6684163822252135,0.6934814524100239,0.7573619832548403,0.6683890417765547,0.8185032919297455,SCN5A
wt_site,8,rbf_svm,10.0,0.1,6,0.6384770830996372,0.69330266294552,0.8214630937845223,0.649798093166714,0.795536667564109,SCN5A
wt_mut_site,32,rbf_svm,10.0,0.01,6,0.6306859078623357,0.6932692307692307,0.8174225245653818,0.6500690667357334,0.8061639310804855,SCN5A
wt_mut_site,128,logistic_regression,1.0,none,6,0.7075662261162657,0.692797546368975,0.7342105645677074,0.7246738279633016,0.804046169739288,SCN5A
mutant_site,16,linear_svm,1.0,none,6,0.6810712726150987,0.6917716873074017,0.7085942496656782,0.6847543972543972,0.7858701225614402,SCN5A
mutant_site,16,linear_svm,10.0,none,6,0.6810712726150987,0.6917716873074017,0.7085942496656782,0.6847543972543972,0.7858701225614402,SCN5A
wt_site,16,rbf_svm,1.0,scale,6,0.7015499722235576,0.6914170155241584,0.7574310279667422,0.7082771030139451,0.8161468977336285,SCN5A
wt_mut_site,128,linear_svm,0.01,none,6,0.676771265670988,0.6911481045409618,0.7301732658875516,0.7130579827948248,0.7853296424665978,SCN5A
delta_site,32,rbf_svm,10.0,scale,6,0.6731306988446067,0.6908304988662132,0.7627939851154136,0.6537640227156356,0.8205395383543572,SCN5A
delta_site,64,linear_svm,0.01,none,6,0.6792963512705051,0.6907930693644979,0.7536731786731786,0.691780409608616,0.8039478075531544,SCN5A
wt_mut_site,8,rbf_svm,10.0,0.1,6,0.6115088116757207,0.6887478923193209,0.7933797023082737,0.6209846247709668,0.7988518224253919,SCN5A
wt_mut_site,32,rbf_svm,1.0,scale,6,0.6796920487262899,0.6886207046921333,0.7307390691319262,0.7126148705096074,0.8020552837940276,SCN5A
wt_site,8,rbf_svm,1.0,0.01,6,0.6862202638494944,0.6886159805802663,0.7897588522588522,0.6738649061488067,0.7950115306375305,SCN5A
wt_mut_site,32,linear_svm,10.0,none,6,0.6739200071844836,0.6885872725158441,0.6908544828187685,0.6934113735584324,0.7879228956592176,SCN5A
wt_mut_site,16,rbf_svm,1.0,0.01,6,0.6950795134048042,0.6884549973835687,0.8330447991162276,0.7088013135033364,0.812003899226608,SCN5A
delta_site,32,logistic_regression,0.01,none,6,0.6348565473615051,0.6880207424850281,0.7029696493982208,0.6272946552358317,0.7827220045739747,SCN5A
mutant_site,64,linear_svm,0.1,none,6,0.656737256221656,0.687505450898308,0.731601764637479,0.6792717086834733,0.7846039798074894,SCN5A
mutant_site,32,linear_svm,0.1,none,6,0.6790295204824554,0.6872267282981568,0.7411586429443572,0.6784293064994819,0.8216052572786872,SCN5A
mutant_site,128,logistic_regression,0.01,none,6,0.6843960159500879,0.6870283155997442,0.7852349700563986,0.7063476176919649,0.8519173287987512,SCN5A
mutant_site,8,rbf_svm,10.0,scale,6,0.6790093224684711,0.6870097825454969,0.7679839670911099,0.6514009382430436,0.770908703915847,SCN5A
wt_mut_site,64,rbf_svm,1.0,0.01,6,0.6034002271525408,0.686433077504506,0.7716302546659689,0.5743301184110008,0.7978306839028452,SCN5A
mutant_site,16,logistic_regression,1.0,none,6,0.6660675702022872,0.6858145822431537,0.7383539740682598,0.6823954683087811,0.8102735827839274,SCN5A
mutant_site,16,logistic_regression,10.0,none,6,0.6660675702022872,0.6858145822431537,0.7351415779987208,0.6823954683087811,0.8062565747051345,SCN5A
mutant_site,64,linear_svm,10.0,none,6,0.6661186494773221,0.6858000465143322,0.6892508285365428,0.6890980483526122,0.7467188467820272,SCN5A
wt_site,8,rbf_svm,1.0,0.1,6,0.6594784271856587,0.6855594802023374,0.8256421158206874,0.6588852399197226,0.8005791015201696,SCN5A
wt_site,128,rbf_svm,10.0,scale,6,0.6886085538088448,0.6852716727716728,0.7905263387406244,0.7233139154191787,0.8165467486491608,SCN5A
wt_site,64,rbf_svm,1.0,scale,6,0.6744837153929565,0.6852665852665852,0.7081472760044188,0.7182962564087791,0.777029790165086,SCN5A
wt_mut_site,16,rbf_svm,10.0,0.01,6,0.6978508979269159,0.684912640269783,0.8077104773533345,0.7032788199454866,0.7974448735029122,SCN5A
delta_site,64,linear_svm,1.0,none,6,0.6215907087800266,0.6845285336356765,0.7475540002325717,0.6254748743817303,0.8094989582616713,SCN5A
