outer_target_gene,inner_validation_gene,actual_pca_dim,feature_set,pca_dim,model_name,C,gamma,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN2A,SCN4A,32,delta_site,32,rbf_svm,1.0,0.01,31,13,18,0.6129032258064516,0.655982905982906,0.6025641025641025,0.5384615384615384,0.875,0.3888888888888889,0.782051282051282,0.8447502209900133
SCN2A,SCN5A,32,delta_site,32,rbf_svm,1.0,0.01,157,117,40,0.49044585987261147,0.5594017094017094,0.48116325181758096,0.4117647058823529,0.2916666666666667,0.7,0.5959401709401709,0.46213028865461425
SCN2A,SCN8A,32,delta_site,32,rbf_svm,1.0,0.01,22,8,14,0.5909090909090909,0.6785714285714286,0.5831578947368421,0.5263157894736842,1.0,0.35714285714285715,0.8125,0.8963726418060782
SCN2A,SCN10A,32,delta_site,32,rbf_svm,1.0,0.1,16,7,9,0.5,0.5555555555555556,0.4181818181818182,0.2,1.0,0.1111111111111111,0.5714285714285714,0.6665404040404039
SCN2A,SCN1A,32,delta_site,32,rbf_svm,1.0,0.1,61,49,12,0.819672131147541,0.5416666666666666,0.5264643613267467,0.15384615384615385,1.0,0.08333333333333333,0.5586734693877551,0.29329464770373775
SCN2A,SCN3A,32,delta_site,32,rbf_svm,1.0,0.1,12,2,10,0.4166666666666667,0.65,0.4125874125874126,0.46153846153846156,1.0,0.3,0.85,0.9697979797979798
SCN2A,SCN4A,32,delta_site,32,rbf_svm,1.0,0.1,31,13,18,0.6129032258064516,0.6666666666666666,0.5921052631578947,0.5,1.0,0.3333333333333333,0.8247863247863247,0.8587595139065729
SCN2A,SCN5A,32,delta_site,32,rbf_svm,1.0,0.1,157,117,40,0.7961783439490446,0.6,0.606516290726817,0.3333333333333333,1.0,0.2,0.5558760683760684,0.44098417324870975
SCN2A,SCN8A,32,delta_site,32,rbf_svm,1.0,0.1,22,8,14,0.5,0.6071428571428571,0.47276688453159044,0.35294117647058826,1.0,0.21428571428571427,0.7767857142857143,0.8625770722962229
SCN2A,SCN10A,32,delta_site,32,rbf_svm,10.0,scale,16,7,9,0.5,0.5079365079365079,0.5,0.5,0.5714285714285714,0.4444444444444444,0.5079365079365079,0.6557339265672599
SCN2A,SCN1A,32,delta_site,32,rbf_svm,10.0,scale,61,49,12,0.6065573770491803,0.5348639455782312,0.5106951871657754,0.29411764705882354,0.22727272727272727,0.4166666666666667,0.6598639455782312,0.340128420711149
SCN2A,SCN3A,32,delta_site,32,rbf_svm,10.0,scale,12,2,10,0.5833333333333334,0.75,0.5555555555555556,0.6666666666666666,1.0,0.5,0.8500000000000001,0.9733333333333333
SCN2A,SCN4A,32,delta_site,32,rbf_svm,10.0,scale,31,13,18,0.7096774193548387,0.717948717948718,0.7084639498432602,0.7272727272727273,0.8,0.6666666666666666,0.7564102564102564,0.8618282019810035
SCN2A,SCN5A,32,delta_site,32,rbf_svm,10.0,scale,157,117,40,0.6178343949044586,0.5955128205128206,0.5686813186813187,0.4230769230769231,0.34375,0.55,0.6495726495726496,0.3850601944257852
SCN2A,SCN8A,32,delta_site,32,rbf_svm,10.0,scale,22,8,14,0.7272727272727273,0.7589285714285714,0.725,0.75,0.9,0.6428571428571429,0.7857142857142857,0.8316300762729334
SCN2A,SCN10A,32,delta_site,32,rbf_svm,10.0,0.01,16,7,9,0.4375,0.46825396825396826,0.41700404858299595,0.3076923076923077,0.5,0.2222222222222222,0.5714285714285714,0.6657687991021324
SCN2A,SCN1A,32,delta_site,32,rbf_svm,10.0,0.01,61,49,12,0.7213114754098361,0.4804421768707483,0.4701073071027082,0.10526315789473684,0.14285714285714285,0.08333333333333333,0.5527210884353742,0.2866467215990728
SCN2A,SCN3A,32,delta_site,32,rbf_svm,10.0,0.01,12,2,10,0.5,0.7,0.4857142857142857,0.5714285714285714,1.0,0.4,0.95,0.9909090909090909
SCN2A,SCN4A,32,delta_site,32,rbf_svm,10.0,0.01,31,13,18,0.5806451612903226,0.6282051282051282,0.5643243243243243,0.48,0.8571428571428571,0.3333333333333333,0.7905982905982906,0.8515052714950639
SCN2A,SCN5A,32,delta_site,32,rbf_svm,10.0,0.01,157,117,40,0.4585987261146497,0.538034188034188,0.4529168203992949,0.3971631205673759,0.27722772277227725,0.7,0.5910256410256409,0.4633388896756814
SCN2A,SCN8A,32,delta_site,32,rbf_svm,10.0,0.01,22,8,14,0.5454545454545454,0.6428571428571428,0.5299145299145299,0.4444444444444444,1.0,0.2857142857142857,0.8125,0.8910154989489354
SCN2A,SCN10A,32,delta_site,32,rbf_svm,10.0,0.1,16,7,9,0.5,0.5555555555555556,0.4181818181818182,0.2,1.0,0.1111111111111111,0.5714285714285714,0.6665404040404039
SCN2A,SCN1A,32,delta_site,32,rbf_svm,10.0,0.1,61,49,12,0.819672131147541,0.5416666666666666,0.5264643613267467,0.15384615384615385,1.0,0.08333333333333333,0.5586734693877551,0.29329464770373775
SCN2A,SCN3A,32,delta_site,32,rbf_svm,10.0,0.1,12,2,10,0.4166666666666667,0.65,0.4125874125874126,0.46153846153846156,1.0,0.3,0.85,0.9697979797979798
SCN2A,SCN4A,32,delta_site,32,rbf_svm,10.0,0.1,31,13,18,0.6129032258064516,0.6666666666666666,0.5921052631578947,0.5,1.0,0.3333333333333333,0.8247863247863247,0.8587595139065729
SCN2A,SCN5A,32,delta_site,32,rbf_svm,10.0,0.1,157,117,40,0.7770700636942676,0.5871794871794872,0.5903228211436666,0.3137254901960784,0.7272727272727273,0.2,0.5558760683760684,0.44098417324870964
SCN2A,SCN8A,32,delta_site,32,rbf_svm,10.0,0.1,22,8,14,0.5,0.6071428571428571,0.47276688453159044,0.35294117647058826,1.0,0.21428571428571427,0.7767857142857143,0.8625770722962229
SCN2A,SCN10A,64,delta_site,64,logistic_regression,0.01,none,16,7,9,0.625,0.6190476190476191,0.6190476190476191,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6349206349206349,0.7314111814111814
SCN2A,SCN1A,64,delta_site,64,logistic_regression,0.01,none,61,49,12,0.6065573770491803,0.5977891156462585,0.5413533834586466,0.3684210526315789,0.2692307692307692,0.5833333333333334,0.6122448979591837,0.4039578083061856
SCN2A,SCN3A,64,delta_site,64,logistic_regression,0.01,none,12,2,10,0.75,0.65,0.6210526315789473,0.8421052631578947,0.8888888888888888,0.8,0.75,0.9497222222222222
SCN2A,SCN4A,64,delta_site,64,logistic_regression,0.01,none,31,13,18,0.8387096774193549,0.8397435897435898,0.8359788359788359,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.8974358974358974,0.9243398123300086
SCN2A,SCN5A,64,delta_site,64,logistic_regression,0.01,none,157,117,40,0.5796178343949044,0.5616452991452991,0.5342502696871629,0.3888888888888889,0.3088235294117647,0.525,0.5681623931623931,0.3201443350455523
SCN2A,SCN8A,64,delta_site,64,logistic_regression,0.01,none,22,8,14,0.5909090909090909,0.625,0.5900621118012422,0.6086956521739131,0.7777777777777778,0.5,0.8125,0.8305107707418633
