target_gene,method,hidden_dim,proj_dim,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_gof_f1,std_gof_f1,mean_final_loss
SCN1A,frozen_esm_wt_mut,1024,256,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,1024,512,1,5,0.7377049180327869,0.0,0.7423469387755102,0.0,0.7423469387755102,0.0,0.3559985096870343,0.0,0.5294117647058824,0.0,
SCN1A,frozen_esm_wt_mut,256,64,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,256,128,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,256,256,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,256,512,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,512,64,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,512,128,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,512,256,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,512,512,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,1024,64,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,1024,128,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,1024,256,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN1A,frozen_esm_wt_mut,1024,512,5,5,0.6229508196721312,0.0,0.7023809523809523,0.0,0.7899659863945578,0.0,0.4276453728816819,0.0,0.4651162790697675,0.0,
SCN2A,frozen_esm_wt_mut,256,64,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,256,128,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,256,256,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,256,512,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
SCN2A,frozen_esm_wt_mut,512,64,5,5,0.75,0.0,0.753968253968254,0.0,0.7658730158730158,0.0,0.7430787811222594,0.0,0.7647058823529411,0.0,
