setting,feature_a,feature_b,k,metric,n_queries,value_a,value_b,diff_a_minus_b,bootstrap_95ci_low,bootstrap_95ci_high,paired_permutation_p_two_sided
heldout_SCN1A,wt_mut_site,wt_site,3,roc_auc,61,0.78656462585034,0.7363945578231292,0.0501700680272108,-0.07399373840445274,0.18633688114820185,0.49725137431284355
heldout_SCN1A,wt_mut_site,wt_site,3,gof_f1,61,0.5238095238095238,0.45,0.07380952380952382,-0.013335365853658621,0.1923076923076923,0.37631184407796103
heldout_SCN1A,wt_mut_site,wt_site,5,accuracy,61,0.6229508196721312,0.5901639344262295,0.032786885245901676,-0.06557377049180324,0.11516393442622734,0.7311344327836082
heldout_SCN1A,wt_mut_site,wt_site,5,balanced_accuracy,61,0.7023809523809523,0.6505102040816326,0.0518707482993197,-0.03191489361702127,0.1580531609195403,0.5077461269365318
heldout_SCN1A,wt_mut_site,wt_site,5,roc_auc,61,0.7899659863945578,0.7066326530612245,0.08333333333333337,0.001818181818181938,0.18189102564102555,0.07796101949025487
heldout_SCN1A,wt_mut_site,wt_site,5,gof_f1,61,0.46511627906976744,0.4186046511627907,0.046511627906976716,-0.03326127124907613,0.14685686653771754,0.5077461269365318
heldout_SCN1A,wt_mut_site,mutant_site,1,accuracy,61,0.7377049180327869,0.6885245901639344,0.049180327868852514,0.0,0.11475409836065575,0.2353823088455772
heldout_SCN1A,wt_mut_site,mutant_site,1,balanced_accuracy,61,0.7423469387755102,0.7117346938775511,0.030612244897959107,0.0,0.06866176470588226,0.2353823088455772
heldout_SCN1A,wt_mut_site,mutant_site,1,roc_auc,61,0.7423469387755102,0.7117346938775512,0.030612244897958996,0.0,0.06866176470588226,0.2353823088455772
heldout_SCN1A,wt_mut_site,mutant_site,1,gof_f1,61,0.5294117647058824,0.4864864864864865,0.042925278219395846,0.0,0.1041780187445509,0.2353823088455772
heldout_SCN1A,wt_mut_site,mutant_site,3,accuracy,61,0.6721311475409836,0.6885245901639344,-0.016393442622950838,-0.11475409836065575,0.08196721311475408,1.0
heldout_SCN1A,wt_mut_site,mutant_site,3,balanced_accuracy,61,0.7644557823129252,0.7431972789115646,0.021258503401360596,-0.06521739130434778,0.13363803854875272,0.8610694652673663
heldout_SCN1A,wt_mut_site,mutant_site,3,roc_auc,61,0.78656462585034,0.7780612244897959,0.008503401360544172,-0.05612516283108978,0.07910289115646246,0.8370814592703648
heldout_SCN1A,wt_mut_site,mutant_site,3,gof_f1,61,0.5238095238095238,0.5128205128205128,0.010989010989011061,-0.08505175638037403,0.1212373737373736,1.0
heldout_SCN1A,wt_mut_site,mutant_site,5,accuracy,61,0.6229508196721312,0.5901639344262295,0.032786885245901676,-0.0491803278688524,0.11475409836065575,0.68015992003998
heldout_SCN1A,wt_mut_site,mutant_site,5,balanced_accuracy,61,0.7023809523809523,0.6505102040816326,0.0518707482993197,-0.020408163265306145,0.15636363636363632,0.49525237381309345
heldout_SCN1A,wt_mut_site,mutant_site,5,roc_auc,61,0.7899659863945578,0.766156462585034,0.023809523809523836,-0.025648584905660504,0.08416761363636349,0.40929535232383807
heldout_SCN1A,wt_mut_site,mutant_site,5,gof_f1,61,0.46511627906976744,0.4186046511627907,0.046511627906976716,-0.022177177177177213,0.14141414141414138,0.49525237381309345
heldout_SCN1A,wt_mut_site,delta_site,1,accuracy,61,0.7377049180327869,0.6229508196721312,0.11475409836065575,-0.032786885245901565,0.2622950819672131,0.18040979510244878
heldout_SCN1A,wt_mut_site,delta_site,1,balanced_accuracy,61,0.7423469387755102,0.5450680272108843,0.19727891156462585,0.045454545454545414,0.36863935904550493,0.04447776111944028
heldout_SCN1A,wt_mut_site,delta_site,1,roc_auc,61,0.7423469387755102,0.5450680272108844,0.19727891156462574,0.045454545454545414,0.3686393590455048,0.04447776111944028
heldout_SCN1A,wt_mut_site,delta_site,1,gof_f1,61,0.5294117647058824,0.30303030303030304,0.22638146167557932,0.04503003003003007,0.4276556407302375,0.04597701149425287
heldout_SCN1A,wt_mut_site,delta_site,3,accuracy,61,0.6721311475409836,0.6557377049180327,0.016393442622950838,-0.13114754098360648,0.14795081967212897,1.0
heldout_SCN1A,wt_mut_site,delta_site,3,balanced_accuracy,61,0.7644557823129252,0.6598639455782312,0.10459183673469397,-0.037748335183129846,0.2602040816326531,0.22188905547226387
heldout_SCN1A,wt_mut_site,delta_site,3,roc_auc,61,0.78656462585034,0.6624149659863946,0.12414965986394544,-0.03342276465712012,0.2918309283309283,0.1584207896051974
heldout_SCN1A,wt_mut_site,delta_site,3,gof_f1,61,0.5238095238095238,0.43243243243243246,0.09137709137709138,-0.061995588265611155,0.25490872210953347,0.27386306846576713
heldout_SCN1A,wt_mut_site,delta_site,5,accuracy,61,0.6229508196721312,0.6229508196721312,0.0,-0.16393442622950816,0.14754098360655743,1.0
heldout_SCN1A,wt_mut_site,delta_site,5,balanced_accuracy,61,0.7023809523809523,0.6079931972789117,0.09438775510204067,-0.09901960784313724,0.28877279635258357,0.3728135932033983
heldout_SCN1A,wt_mut_site,delta_site,5,roc_auc,61,0.7899659863945578,0.6768707482993198,0.11309523809523803,-0.07401080112896238,0.30556372549019606,0.3023488255872064
heldout_SCN1A,wt_mut_site,delta_site,5,gof_f1,61,0.46511627906976744,0.3783783783783784,0.08673790069138904,-0.10152340253265403,0.2800137432556242,0.4332833583208396
