outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN10A,wt_mut_site,64,rbf_svm,1.0,0.01,6,0.2507111182912034,0.7587301587301587,0.6767241379310345,0.6586030964109781,0.5365853658536586,0.6867476185491469,0.7428571428571429,0.6644088669950738,0.6586030964109781,0.5207100591715976
SCN10A,wt_mut_site,128,rbf_svm,1.0,0.01,6,0.08769889472783943,0.7587301587301587,0.6767241379310345,0.6585591133004927,0.5365853658536586,0.6867476185491469,0.7492063492063492,0.6693349753694581,0.6585591133004927,0.5269461077844312
SCN10A,wt_mut_site,16,rbf_svm,1.0,0.1,6,0.004570919051846575,0.7523809523809524,0.6758004926108374,0.6555022871217453,0.5411764705882353,0.6858056265984654,0.7523809523809524,0.6758004926108374,0.6555022871217453,0.5411764705882353
SCN10A,wt_mut_site,64,rbf_svm,0.1,0.1,6,-0.7470300644354384,0.7301587301587301,0.6745689655172414,0.6617039057002111,0.5595854922279793,0.6825387415373305,0.6761904761904762,0.5886699507389163,0.6617039057002111,0.3855421686746988
SCN10A,wt_mut_site,128,rbf_svm,0.1,0.01,6,-0.6409350395964067,0.7015873015873015,0.6744150246305418,0.6860485573539762,0.5803571428571429,0.6744150246305418,0.6761904761904762,0.5886699507389163,0.6860485573539762,0.3855421686746988
SCN10A,wt_mut_site,8,rbf_svm,10.0,0.1,6,0.017806788195559926,0.7238095238095238,0.6736453201970443,0.6798909218859959,0.5628140703517588,0.6804789609299398,0.580952380952381,0.5848214285714286,0.6798909218859959,0.5037593984962406
SCN10A,wt_mut_site,32,rbf_svm,10.0,0.1,6,0.004466955203433258,0.7492063492063492,0.6733374384236452,0.642637227304715,0.5380116959064327,0.6829492030730421,0.5301587301587302,0.5414100985221675,0.642637227304715,0.4676258992805755
SCN10A,wt_mut_site,32,rbf_svm,0.1,0.1,6,-0.684965834848762,0.7206349206349206,0.6731834975369457,0.6752726952850104,0.5643564356435643,0.6793744795040251,0.6761904761904762,0.5886699507389163,0.6752726952850104,0.3855421686746988
SCN10A,wt_mut_site,64,logistic_regression,10.0,none,6,0.25650023276174644,0.6349206349206349,0.6727216748768473,0.7037297677691765,0.6101694915254238,0.6334429547179358,0.6285714285714286,0.6417795566502463,0.7037297677691765,0.5682656826568265
SCN10A,wt_mut_site,64,linear_svm,10.0,none,6,0.24216388449361417,0.6698412698412698,0.6717980295566502,0.6923381421534132,0.59375,0.6578375668449198,0.6444444444444445,0.6520935960591133,0.6923381421534132,0.5757575757575758
SCN10A,wt_mut_site,32,rbf_svm,10.0,0.01,6,0.08909936286334433,0.7111111111111111,0.6697967980295567,0.6949771287825475,0.5645933014354066,0.6742206412165157,0.6603174603174603,0.6423953201970444,0.6949771287825475,0.5485232067510548
SCN10A,wt_mut_site,32,rbf_svm,1.0,0.1,6,-0.0037845142964827573,0.746031746031746,0.666871921182266,0.6371833216045037,0.5238095238095238,0.6753246753246753,0.7428571428571429,0.6604064039408867,0.6371833216045037,0.509090909090909
SCN10A,wt_mut_site,8,rbf_svm,10.0,0.01,6,0.5534203262170063,0.7142857142857143,0.6582512315270936,0.7012227304714989,0.5360824742268041,0.6648302279390901,0.6412698412698413,0.6436268472906403,0.7012227304714989,0.5637065637065637
SCN10A,wt_mut_site,128,rbf_svm,0.1,0.1,6,-0.8018487975484894,0.7238095238095238,0.6576354679802956,0.6511259676284307,0.5245901639344263,0.6649796457256023,0.6761904761904762,0.5886699507389163,0.6511259676284307,0.3855421686746988
SCN10A,wt_mut_site,64,rbf_svm,10.0,0.1,6,0.026609145548099518,0.7301587301587301,0.6305418719211823,0.5608946164672766,0.42953020134228187,0.6264075123135526,0.46984126984126984,0.4705972906403941,0.5608946164672766,0.3882783882783883
