region,term.id,term,pval,OR_adj,OR_adj_lo,OR_adj_hi
Domain C,FENICS:0137,Overall gain-of-function,0.4074,1.49,0.62,3.53
Domain III,FENICS:0132,Effect on use dependence,0.4178,1.77,0.3,7.16
Domain II,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.4223,1.46,0.44,4.17
Domain I,FENICS:0116,Depolarizing shift of voltage dependence of slow inactivation,0.4285,2.27,0.04,29.51
Domain III-IV,FENICS:0037,Effect on fast inactivation,0.4288,1.8,0.53,7.86
Domain III-IV,FENICS:0003,Component leading to Gain-of-Function (GoF),0.4291,1.88,0.55,8.2
Domain IV,FENICS:0035,Increase in slope of activation,0.4302,1.53,0.49,4.34
Domain II,FENICS:0046,Acceleration of fast inactivation,0.4313,1.7,0.28,7.51
Domain II,FENICS:0144,Overall loss-of-function effect with respect to biophysical channel activity,0.4323,1.56,0.52,4.22
Domain N,FENICS:0022,Depolarizing shift of voltage dependence of activation,0.4483,2.03,0.04,21.75
Domain C,FENICS:0148,Overall mixed or unclear functional effect with respect to biophysical channel activity,0.4597,1.38,0.46,3.69
Domain IV,FENICS:0127,Effect on ion channel function involving multiple biophysical properties,0.4656,1.44,0.5,3.8
Domain III,FENICS:0145,Overall mixed or unclear functional effect not able to be clearly categorized as Gain- or Loss-of-Function,0.4741,1.39,0.49,3.63
Domain IV,FENICS:0046,Acceleration of fast inactivation,0.4769,1.72,0.35,7.1
Domain II-III,FENICS:0114,Effect on voltage dependence of slow inactivation,0.4834,1.72,0.04,14.49
Domain C,FENICS:0145,Overall mixed or unclear functional effect not able to be clearly categorized as Gain- or Loss-of-Function,0.4893,1.42,0.53,3.54
Domain II,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.494,1.41,0.53,3.44
Domain III,FENICS:0052,Effect on rate of recovery from fast inactivation,0.4991,1.33,0.49,3.39
Domain III-IV,FENICS:0048,Slowing of fast inactivation,0.5013,1.54,0.35,5.42
Domain N,FENICS:0144,Overall loss-of-function effect with respect to biophysical channel activity,0.504,1.7,0.03,18.02
Domain II,FENICS:0132,Effect on use dependence,0.5049,1.52,0.34,5.38
Domain C,FENICS:0038,Effect on persistent current,0.5095,1.36,0.53,3.33
Domain I,FENICS:0141,Overall loss-of-function,0.5214,1.35,0.53,3.26
Domain III,FENICS:0073,Increase in slope of fast inactivation,0.5283,1.39,0.32,4.64
Domain I,FENICS:0137,Overall gain-of-function,0.5294,1.35,0.55,3.26
Domain C,FENICS:0021,Effect on shift of voltage dependence of activation,0.5389,1.36,0.56,3.21
Domain II,FENICS:0106,Effect on rate of recovery from slow inactivation,0.5438,1.53,0.41,4.82
Domain II,FENICS:0039,Decrease in persistent current,0.562,1.48,0.03,18.94
Domain N,FENICS:0055,Slowing of recovery from fast inactivation,0.5672,1.4,0.03,14.71
Domain III-IV,FENICS:0119,Effect on slope of slow inactivation,0.5675,1.32,0.03,10.64
Domain I-II,FENICS:0073,Increase in slope of fast inactivation,0.598,1.23,0.03,10.77
Domain III,FENICS:0148,Overall mixed or unclear functional effect with respect to biophysical channel activity,0.6021,1.28,0.39,3.63
Domain I-II,FENICS:0065,Hyperpolarizing shift of voltage dependence of fast inactivation,0.6125,1.85,0.17,11.86
Domain II,FENICS:0099,Increase in resurgent current,0.616,1.79,0.16,11.47
Domain III-IV,FENICS:0058,Effect on voltage dependence of fast inactivation,0.6162,1.36,0.45,4.23
Domain II-III,FENICS:0055,Slowing of recovery from fast inactivation,0.63,1.62,0.16,9.04
Domain IV,FENICS:0020,Effect on voltage dependence of activation,0.6385,1.17,0.6,2.26
Domain IV,FENICS:0082,Effect on peak current,0.6404,1.16,0.6,2.25
Domain II,FENICS:0092,Increase in peak current,0.6431,1.49,0.14,8.75
Domain III,FENICS:0141,Overall loss-of-function,0.6578,1.29,0.49,3.23
Domain II,FENICS:0148,Overall mixed or unclear functional effect with respect to biophysical channel activity,0.6582,1.26,0.48,3.04
Domain III,FENICS:0003,Component leading to Gain-of-Function (GoF),0.6662,1.28,0.5,3.59
